"Name","playerid","WAR32","WAR33","WAR34","WAR35","Cluster"
"Freddy Garcia","   1077","1.5","1.5","1.7","0.5","E"
"Matt Miller","   1754","1.2","0.5","-0.1","0.1","B"
"Mike Cuellar","1002853","6.6","4.8","2.8","2.4","J"
"Billy Wagner","    578","1.5","2.1","1.9","1.6","G"
"Joe Nuxhall","1009665","1.4","1.5","5.4","1.2","H"
"Octavio Dotel","    555","-0.2","0.3","0.7","0.7","A"
"Danny Cox","1002695","0.4","1.4","0.5","0","B"
"Vern Ruhle","1011297","-0.7","0.6","1","0.5","D"
"Ben Weber","     41","1","0.6","-0.5","0","B"
"John Franco","    874","-0.5","1","0.8","1.2","D"
"Doug Bair","1000439","0.3","-0.2","0.3","0.4","A"
"Charlie Leibrandt","1007492","1.2","3.2","3.6","3.6","I"
"Francisco Cordero","   1243","2.4","0.7","1.3","0.3","C"
"Jerry Koosman","1007103","3.1","4.9","4.6","3.2","K"
"Curt Schilling","     73","3.3","4.6","7.2","9.3","O"
"Jim Gott","1004898","0.8","1.8","-0.1","0.2","B"
"Claude Osteen","1009878","2.4","2.1","1.2","1","G"
"Tom Seaver","1011708","6.2","4.4","3.9","0.4","J"
"Jim Kern","1006868","0.1","0","0","-0.3","A"
"Ron Villone","   1010","0.4","1.2","0.3","0.7","D"
"Jim Clancy","1002255","1.8","0.4","0.5","-0.2","B"
"Ron Guidry","1005124","3.9","2.8","4.9","3","L"
"Mike Magnante","    929","1.1","0.3","1","0.1","B"
"Jamie Moyer","   1091","1.2","1.6","3.2","5.2","H"
"Dick Donovan","1003395","-0.3","3.4","4.2","1.9","M"
"Craig Lefferts","1007476","0.5","1.4","2.6","-0.3","E"
"Whitey Ford","1004227","5.8","4.9","5.2","6.8","K"
"Danny Jackson","1006295","3.9","0.3","0.4","-0.3","C"
"Joe Niekro","1009582","1.6","1.4","1.8","3.4","H"
"Miguel Batista","     46","4.3","1.6","0.5","2.9","G"
"Hank Aguirre","1000087","2.6","1.8","2.4","0.4","F"
"Dennis Eckersley","1003660","3.4","2.3","1.7","3.2","G"
"John Hiller","1005817","1.6","1.6","1.5","2","G"
"Gaylord Perry","1010210","4.7","8.1","5.7","6.3","N"
"Rick Wise","1014155","2.5","3.2","1.1","0.5","F"
"Mike Stanton","    849","1.5","1.6","1.7","1.2","E"
"Geoff Zahn","1014410","3.4","2.7","3.6","1.1","F"
"Bob Patterson","1010055","0.7","-0.3","0.3","0.1","A"
"Ed Whitson","1013911","1.1","3","2.7","5.2","I"
"Jason Isringhausen","   1158","0.7","-0.9","0.6","-0.3","A"
"Terry Leach","1007427","0.1","1","0.3","-0.1","B"
"D.J. Carrasco","   1666","1.2","0.4","-0.4","-0.1","B"
"Dick Tidrow","1013056","0.7","0.4","-0.1","0.9","A"
"Mike Morgan","     67","3.2","2.8","0.3","1.5","G"
"Alberto Castillo","   3316","0","0.2","-0.4","0","A"
"Bill Gullickson","1005136","3.4","0.6","0.7","0.7","C"
"Joe Borowski","    267","1.8","-0.2","0","0.7","C"
"Julian Tavarez","    541","0.3","0","0.8","0.1","A"
"Al Leiter","    883","4.8","3.3","4.8","3.8","L"
"Josias Manzanillo","    996","0.1","1.6","-0.4","-0.5","B"
"Doyle Alexander","1000122","1","5","4","3.9","I"
"Larry McWilliams","1008700","0.1","0.1","0.8","1.9","D"
"J.J. Putz","   1795","0.2","1.5","1.4","1.4","D"
"Bill Henry","1005665","0.4","0.5","0","0.7","A"
"Grant Jackson","1006298","0.7","0.9","-0.5","0.4","B"
"Troy Percival","     29","1.6","0.2","0.1","-0.6","B"
"Kent Tekulve","1012905","2.1","0","1.2","0.6","C"
"Armando Reynoso","     72","0.7","1.4","2.1","-0.6","E"
"Lindy McDaniel","1008441","0.1","1.3","1.8","-1","E"
"Jamie Walker","    502","1","0.3","0.5","0.8","D"
"Woodie Fryman","1004381","2.7","1.7","0.9","2.3","G"
